,Manager,Player,Team,Total Wildcard,Total Division,Total Conference,Total Superbowl,Total Points
314,Maye Day,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
315,McSRQ,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
316,Miami Mike Goes Detroit,Ladd McConkey,LAC,39.7,0.0,0.0,0.0,39.7
317,Michaels motivated sea'men,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
318,Murphys,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
319,Mythical Hail Marys,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
320,New Year |  Same Me | Wesley ,Ladd McConkey,LAC,39.7,0.0,0.0,0.0,39.7
321,Nick Dakuginow,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
322,Pirates Life For Me ,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
323,Sarasota Supreme Team ,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
324,See deez TDs,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
325,Shaun McElroy,DeVonta Smith,PHI,9.5,0.0,0.0,0.0,9.5
326,Shot in the Dark / JC,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
327,Show Me Your TDs!/Richard Silva,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
328,Silver Papa,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
329,Stat-O-Matic | Chris K,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
330,Tanja,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
331,Turd Ferguson,Khalil Shakir,BUF,12.100000000000001,0.0,0.0,0.0,12.100000000000001
332,Tutt-Nation,Puka Nacua,LAR,10.1,0.0,0.0,0.0,10.1
333,2-10 Hahaha,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
334,A G-Thang,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
335,Abarrett35,Nico Collins,HOU,27.200000000000003,13.1,0.0,0.0,40.300000000000004
336,Alexander’s Raiders,Courtland Sutton,DEN,12.5,0.0,0.0,0.0,12.5
337,Ball Too Well (Allie’s Version),Nico Collins,HOU,27.200000000000003,13.1,0.0,0.0,40.300000000000004
338,Blake Rogers,DeAndre Hopkins,KC,0.0,0.0,0.0,0.0,0.0
339,Born tua be wild ,Cooper Kupp,LAR,3.9000000000000004,0.0,0.0,0.0,3.9000000000000004
340,Danny,DeAndre Hopkins,KC,0.0,0.0,0.0,0.0,0.0
341,Erin M | HearMeowt,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
342,Ethan R,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
343,F.O.G.| Joe Pino,Nico Collins,HOU,27.200000000000003,13.1,0.0,0.0,40.300000000000004
344,Fantasy Fumble Funnies,DeAndre Hopkins,KC,0.0,0.0,0.0,0.0,0.0
345,Gage ,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
346,Griffin Stanley,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
347,Hawk Tua | Brock Michalek ,Cooper Kupp,LAR,3.9000000000000004,0.0,0.0,0.0,3.9000000000000004
348,Karrtoons,Cooper Kupp,LAR,3.9000000000000004,0.0,0.0,0.0,3.9000000000000004
349,Liebersquad,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
350,Matt’s last chance at fantasy,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
351,Maye Day,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
352,McSRQ,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
353,Miami Mike Goes Detroit,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
354,Michaels motivated sea'men,Cooper Kupp,LAR,3.9000000000000004,0.0,0.0,0.0,3.9000000000000004
355,Murphys,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
356,Mythical Hail Marys,DeAndre Hopkins,KC,0.0,0.0,0.0,0.0,0.0
357,New Year |  Same Me | Wesley ,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
358,Nick Dakuginow,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
359,Pirates Life For Me ,Amari Cooper,BUF,2.8,0.0,0.0,0.0,2.8
360,Sarasota Supreme Team ,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
361,See deez TDs,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
362,Shaun McElroy,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
363,Shot in the Dark / JC,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
364,Show Me Your TDs!/Richard Silva,Jameson Williams,DET,0.0,14.000000000000002,0.0,0.0,14.000000000000002
365,Silver Papa,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
366,Stat-O-Matic | Chris K,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
367,Tanja,Xavier Worthy,KC,0.0,8.7,0.0,0.0,8.7
368,Turd Ferguson,Rashod Bateman,BAL,10.4,0.0,0.0,0.0,10.4
369,Tutt-Nation,Courtland Sutton,DEN,12.5,0.0,0.0,0.0,12.5
370,2-10 Hahaha,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
371,A G-Thang,Romeo Doubs,GB,3.3,0.0,0.0,0.0,3.3
372,Abarrett35,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
373,Alexander’s Raiders,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
374,Ball Too Well (Allie’s Version),Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
375,Blake Rogers,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
376,Born tua be wild ,Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0
377,Danny,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
378,Erin M | HearMeowt,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
379,Ethan R,Devaughn Vele,DEN,0.0,0.0,0.0,0.0,0.0
380,F.O.G.| Joe Pino,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
381,Fantasy Fumble Funnies,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
382,Gage ,Marvin Mims Jr.,DEN,3.3000000000000003,0.0,0.0,0.0,3.3000000000000003
383,Griffin Stanley,Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0
384,Hawk Tua | Brock Michalek ,Olamide Zaccheaus,WAS,4.9,0.0,0.0,0.0,4.9
385,Karrtoons,Demarcus Robinson,LAR,3.3000000000000003,0.0,0.0,0.0,3.3000000000000003
386,Liebersquad,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
387,Matt’s last chance at fantasy,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
388,Maye Day,Romeo Doubs,GB,3.3,0.0,0.0,0.0,3.3
389,McSRQ,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
390,Miami Mike Goes Detroit,Romeo Doubs,GB,3.3,0.0,0.0,0.0,3.3
391,Michaels motivated sea'men,Dontayvion Wicks,GB,5.9,0.0,0.0,0.0,5.9
392,Murphys,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
393,Mythical Hail Marys,Marvin Mims Jr.,DEN,3.3000000000000003,0.0,0.0,0.0,3.3000000000000003
394,New Year |  Same Me | Wesley ,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
395,Nick Dakuginow,Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0
396,Pirates Life For Me ,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
397,Sarasota Supreme Team ,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
398,See deez TDs,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
399,Shaun McElroy,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
400,Shot in the Dark / JC,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
401,Show Me Your TDs!/Richard Silva,Keon Coleman,BUF,3.5,0.0,0.0,0.0,3.5
402,Silver Papa,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
403,Stat-O-Matic | Chris K,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
404,Tanja,Jalen McMillan,TB,6.1000000000000005,0.0,0.0,0.0,6.1000000000000005
405,Turd Ferguson,Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0
406,Tutt-Nation,Romeo Doubs,GB,3.3,0.0,0.0,0.0,3.3
407,2-10 Hahaha,Sterling Shepard,TB,0.0,0.0,0.0,0.0,0.0
408,A G-Thang,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
409,Abarrett35,Diontae Johnson,HOU,2.2,0.0,0.0,0.0,2.2
410,Alexander’s Raiders,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
411,Ball Too Well (Allie’s Version),Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
412,Blake Rogers,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
413,Born tua be wild ,Jahan Dotson,PHI,8.1,0.0,0.0,0.0,8.1
414,Danny,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
415,Erin M | HearMeowt,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
416,Ethan R,Jalen Nailor,MIN,6.300000000000001,0.0,0.0,0.0,6.300000000000001
417,F.O.G.| Joe Pino,Van Jefferson,PIT,11.7,0.0,0.0,0.0,11.7
418,Fantasy Fumble Funnies,DJ Chark,LAC,2.0,0.0,0.0,0.0,2.0
419,Gage ,Jalen Nailor,MIN,6.300000000000001,0.0,0.0,0.0,6.300000000000001
420,Griffin Stanley,DJ Chark,LAC,2.0,0.0,0.0,0.0,2.0
421,Hawk Tua | Brock Michalek ,John Metchie III,HOU,4.800000000000001,5.5,0.0,0.0,10.3
422,Karrtoons,Sterling Shepard,TB,0.0,0.0,0.0,0.0,0.0
423,Liebersquad,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
424,Matt’s last chance at fantasy,Jalen Nailor,MIN,6.300000000000001,0.0,0.0,0.0,6.300000000000001
425,Maye Day,Malik Heath,GB,0.0,0.0,0.0,0.0,0.0
426,McSRQ,DJ Chark,LAC,2.0,0.0,0.0,0.0,2.0
427,Miami Mike Goes Detroit,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
428,Michaels motivated sea'men,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
429,Murphys,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
430,Mythical Hail Marys,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
431,New Year |  Same Me | Wesley ,Jahan Dotson,PHI,8.1,0.0,0.0,0.0,8.1
432,Nick Dakuginow,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
433,Pirates Life For Me ,Tutu Atwell,LAR,0.0,0.0,0.0,0.0,0.0
434,Sarasota Supreme Team ,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
435,See deez TDs,Jahan Dotson,PHI,8.1,0.0,0.0,0.0,8.1
436,Shaun McElroy,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
437,Shot in the Dark / JC,Jalen Nailor,MIN,6.300000000000001,0.0,0.0,0.0,6.300000000000001
438,Show Me Your TDs!/Richard Silva,Mack Hollins,BUF,2.9000000000000004,0.0,0.0,0.0,2.9000000000000004
